FG_distance,made_pct_smoothed
3,95.72619047619047
4,98.27564102564102
5,95.41849816849816
6,94.42340012928248
7,94.1413488472312
8,92.51972722560959
9,90.48975719563956
10,89.90940005278242
11,89.13366475866476
12,88.55525092443698
13,88.05922548723507
14,86.96831639632599
15,88.15581639632599
16,85.11604366905325
17,83.56187463899086
18,80.8077268260195
19,80.12670921349505
20,78.80528064206646
21,78.22610175643598
22,74.97406923611076
23,73.48222774426928
24,70.9251501186985
25,67.67839687194525
26,67.4431818181818
27,69.04318181818181
28,66.51792929292928
29,64.77879885814669
30,63.07239051239408
31,61.49500956001312
32,56.76575785933285
33,57.876868970443965
34,57.235047024274195
35,53.759637188208615
36,53.14339068960918
37,53.84839996604703
38,52.39540851305558
39,48.94302756067462
40,55.94302756067462
41,47.51165501165501
42,46.6025641025641
43,55.833333333333336
